event_id,selection_group,origin_time_utc,event_lat,event_lon,event_depth_km,source_x_km,source_y_km,source_z_km,magnitude,rms_s,phases,network,station,location,channel,station_lat,station_lon,receiver_x_km,receiver_y_km,pick_time_utc,travel_time_s,xml_file,n_picks,gap_deg,error_depth_km,quality_score
SGC2023wgpmdi,domain_20_120,2023-11-12T04:53:28.809999Z,6.4385,-73.79083333,42.77,-87.37936253426203,-62.50617999999996,42.77,1.451779756,0.7,24,CM,BRJC,00,HHZ,6.97,-73.74,-81.76277582452627,-3.3396000000000274,2023-11-12T04:53:39.395466Z,10.585467,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2023wgpmdi.xml,6,,,0.3553392680000016
SGC2023scytrc,domain_20_120,2023-09-14T13:30:24.282262Z,7.31765396,-74.4568589,52.0703125,-160.9686860117119,35.36123882720003,52.0703125,2.07929632,0.9,25,CM,PTB,00,HHZ,6.54,-74.46,-161.31574689703876,-51.20719999999999,2023-09-14T13:30:39.834513Z,15.552251,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2023scytrc.xml,7,,,0.23788895999999937
SGC2024txdsmm,domain_20_120,2024-10-08T17:25:46.600000Z,7.1965,-73.80933333,34.25,-89.42343192987555,21.874380000000038,34.25,1.325252235,0.2,19,CM,BRJC,00,HHZ,6.97,-73.74,-81.76277582452627,-3.3396000000000274,2024-10-08T17:25:52.782466Z,6.182466,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2024txdsmm.xml,4,,,-0.024243294999998
SGC2022vfotxe,domain_20_120,2022-10-28T11:31:29.339999Z,7.198833333,-73.87483333,24.81,-96.6605424927222,22.134126629559955,24.81,1.295390793,0.5,22,CM,VMM07,00,HHZ,7.36,-73.85,-93.91670196060453,40.07520000000003,2022-10-28T11:31:33.672402Z,4.332403,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2022vfotxe.xml,5,,,-0.11382762099999866
SGC2023qbzxlp,domain_20_120,2023-08-16T17:07:46.850000Z,7.896166667,-74.50383333,71.59,-166.15890194357056,99.76127337044001,71.59,1.944457028,0.6,22,CM,BRJC,00,HHZ,6.97,-73.74,-81.76277582452627,-3.3396000000000274,2023-08-16T17:08:06.722608Z,19.872608,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2023qbzxlp.xml,4,,,-0.16662891600000052
SGC2022xleovs,domain_20_120,2022-11-28T20:43:28.429999Z,7.197666667,-73.99316667,82.68,-109.73522134540718,22.00425337044,82.68,1.253930824,0.3,20,CM,BRJC,00,HHZ,6.97,-73.74,-81.76277582452627,-3.3396000000000274,2022-11-28T20:43:40.400397Z,11.970398,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2022xleovs.xml,4,,,-0.23820752800000022
SGC2024raxrkz,domain_20_120,2024-08-29T06:52:19.809999Z,7.695833333,-73.47633333,108.0,-52.63018280883864,77.46016662956004,108.0,1.250524817,0.5,22,CM,BRJC,00,HHZ,6.97,-73.74,-81.76277582452627,-3.3396000000000274,2024-08-29T06:52:38.152776Z,18.342777,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2024raxrkz.xml,6,,,-0.24842554900000025
SGC2022ylfpiq,domain_20_120,2022-12-13T01:10:31.559999Z,7.219666667,-73.80566667,30.52,-89.0183017952737,24.453293370440026,30.52,1.236121376,0.5,22,CM,BRJC,00,HHZ,6.97,-73.74,-81.76277582452627,-3.3396000000000274,2022-12-13T01:10:36.976338Z,5.416339,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2022ylfpiq.xml,4,,,-0.2916358720000005
SGC2023hqxgip,domain_20_120,2023-04-19T08:27:27.230000Z,6.787833333,-73.402,115.15,-44.41707551548632,-23.618393370439996,115.15,1.221895264,0.6,23,CM,PDSC,10,HNZ,6.99,-73.06,-6.629414256042969,-1.1131999999999762,2023-04-19T08:27:43.093152Z,15.863152,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2023hqxgip.xml,4,,,-0.33431420799999856
SGC2023aflejx,domain_20_120,2023-01-03T22:59:21.480000Z,7.194666667,-74.02816667,34.14,-113.60237966143329,21.67029337043999,34.14,1.202459256,0.4,21,CM,BRJC,00,HHZ,6.97,-73.74,-81.76277582452627,-3.3396000000000274,2023-01-03T22:59:29.207254Z,7.727254,C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2023aflejx.xml,5,,,-0.3926222320000008
