event_id,n_picks,depth_km,selection_group,rms_residual_s,mad_residual_s,p90_abs_residual_s,median_residual_s,azimuthal_gap_deg,relocated_lat,relocated_lon,relocated_z_km,horizontal_shift_km,vertical_shift_km,total_shift_km,origin_time_shift_s,horizontal_uncertainty_0p20_km,depth_uncertainty_0p20_km,origin_time_uncertainty_0p20_s,sgc_rms_s,final_event_rms_s,rms_improvement_s,rms_improvement_percent,gap_class,nest_depth_class
SGC2025vmsmyu,5,120.0,domain_20_120,0.1452777806230407,0.1946327429147255,0.2115345703531971,0.0408945070842357,274.568,6.495084449365076,-73.69070129433389,120.0,10.0,10.0,14.142135623730953,-1.168312041930449,22.360679774997894,40.0,1.8986818714015736,0.7,0.1452777806230407,0.5547222193769592,79.2460313395656,gap_ge_180,deep_nest
SGC2023zkcyib,5,120.0,domain_20_120,0.1409839625653955,0.0409925979225569,0.2216054797460152,0.0135388675636427,219.085,6.584915566864178,-73.5096897927841,120.0,0.0,0.0,0.0,0.1475042914825053,22.36068148098264,30.0,0.9187675653926022,0.7,0.1409839625653955,0.5590160374346045,79.85943391922922,gap_ge_180,deep_nest
SGC2022uzixqk,5,140.0,domain_20_120,0.2826581560680472,0.2182424790582896,0.4405329257411388,0.0230008709288007,177.74899999999997,6.584915566864178,-73.5096897927841,140.0,0.0,10.0,10.0,-1.012035599625122,14.142138321129512,40.0,1.437186105844915,0.8,0.2826581560680472,0.5173418439319528,64.6677304914941,gap_lt_180,deep_nest
SGC2024wtvgin,4,120.0,domain_20_120,0.1736888542303845,0.1510723522893652,0.2360816356880693,0.0652159929849087,217.733,6.67474668436328,-73.5096897927841,120.0,0.0,0.0,0.0,0.123549745424647,14.142138321129512,40.0,1.3525738593279122,0.6,0.1736888542303845,0.4263111457696154,71.05185762826925,gap_ge_180,deep_nest
SGC2024gcqyzr,5,110.0,domain_20_120,0.6121908555273199,0.7552837155365673,0.9177311730742936,0.0895856209703662,285.467,6.405253331865975,-73.69070129433389,110.0,0.0,0.0,0.0,0.0699176767865612,22.360679774997894,40.0,1.7279159160334974,0.6,0.6121908555273199,-0.0121908555273199,-2.0318092545533184,gap_ge_180,crustal_intermediate
SGC2025vdwwrs,7,90.0,domain_20_120,0.2368727768932319,0.2023158649147389,0.3708387255171956,-0.0156891921141699,242.138,7.573057859354296,-73.60019556082159,90.0,10.0,-10.0,14.142135623730953,1.2618252391740334,22.360679774997894,40.0,0.9377136655505398,0.7,0.2368727768932319,0.463127223106768,66.16103187239544,gap_ge_180,crustal_intermediate
SGC2025lsvxjb,6,120.0,domain_20_120,0.2575985500967143,0.3249037144839543,0.3316871841890449,0.0584582960282062,190.009,6.67474668436328,-73.5096897927841,120.0,0.0,0.0,0.0,0.0590238953398358,10.0,40.0,1.3059555540618522,0.8,0.2575985500967143,0.5424014499032856,67.8001812379107,gap_ge_180,deep_nest
SGC2024zjklpi,6,120.0,domain_20_120,0.1838371785528693,0.0944678733333012,0.2901276534341032,0.0652159929849087,217.733,6.67474668436328,-73.5096897927841,120.0,10.0,-10.0,14.142135623730953,1.436335027944466,14.142138321129512,40.0,1.5074358168783843,0.6,0.1838371785528693,0.4161628214471307,69.36047024118845,gap_ge_180,deep_nest
SGC2025jflrnd,6,110.0,domain_20_120,0.1760764680500399,0.2138073580397874,0.26095080870288,-0.0614156926749673,164.502,7.21373338935789,-73.78120702784618,110.0,0.0,0.0,0.0,0.1031387169120208,20.0,40.0,1.4544810068282623,0.8,0.1760764680500399,0.6239235319499601,77.990441493745,gap_lt_180,crustal_intermediate
SGC2024onitvr,7,120.0,domain_20_120,0.3075082815458896,0.3786156345187824,0.4446530438875442,0.0521064185882274,159.08500000000004,6.67474668436328,-73.60019556082159,120.0,0.0,0.0,0.0,-0.0446855959259302,20.0,30.0,1.073747722776048,0.8,0.3075082815458896,0.4924917184541104,61.5614648067638,gap_lt_180,deep_nest
SGC2025ecjjfr,6,100.0,domain_20_120,0.1497618934254798,0.0991988774709561,0.2209823267081025,0.0488145663245961,237.97799999999995,6.584915566864178,-73.60019556082159,100.0,10.0,-10.0,14.142135623730953,1.27807093813301,22.360679774997894,30.0,1.2770423365015535,0.8,0.1497618934254798,0.6502381065745202,81.27976332181501,gap_ge_180,crustal_intermediate
SGC2025xxueyp,6,110.0,domain_20_120,0.2303937564449645,0.1080054186560886,0.3673803406139182,0.0647874679883573,193.469,6.495084449365076,-73.69070129433389,110.0,0.0,-10.0,10.0,0.8325078147838081,20.0,30.0,1.1745540576828022,0.8,0.2303937564449645,0.5696062435550355,71.20078044437943,gap_ge_180,crustal_intermediate
SGC2026eywwqq,6,100.0,domain_20_120,0.187878453697997,0.111597195486656,0.2938889495819268,0.0618173818243663,259.045,6.584915566864178,-73.69070129433389,100.0,0.0,0.0,0.0,0.0619128161288244,22.360679774997894,30.0,1.3256684311903446,0.7,0.187878453697997,0.5121215463020029,73.16022090028613,gap_ge_180,crustal_intermediate
SGC2023vzpirs,8,50.0,domain_20_120,0.3991974827896378,0.4783670396794919,0.5432908085131486,-0.0446078405813122,239.03000000000003,7.303564506856992,-74.05272422838306,50.0,0.0,10.0,10.0,-0.0661274276291461,14.142135623730953,30.0,0.5160240087390491,0.9,0.3991974827896378,0.5008025172103623,55.6447241344847,gap_ge_180,crustal_intermediate
SGC2024qrnhfe,7,130.0,domain_20_120,0.155971174101259,0.1255247890342672,0.2555677591275866,-0.0752765148244876,212.43,6.405253331865975,-73.60019556082159,130.0,0.0,0.0,0.0,0.1705367612973205,22.360679774997894,40.0,1.2640788543059993,0.8,0.155971174101259,0.644028825898741,80.50360323734262,gap_ge_180,deep_nest
