event_id,round,n_picks,catalog_x_km,catalog_y_km,catalog_z_km,relocated_x_km,relocated_y_km,relocated_z_km,relocated_lat,relocated_lon,origin_time_shift_s,rms_before_s,rms_after_s,horizontal_shift_km,vertical_shift_km,total_shift_km
SGC2024wlewyo,1,4,-115.09399786904218,65.56748000000005,21.69,-126.31575012207031,53.79280090332031,20.0,7.483226741855195,-74.14322996189536,-0.9294593966706604,0.6841522282291285,0.13560299540220122,16.265632218211763,-1.6900000000000013,16.353192087727965
SGC2024lxfeyo,1,5,-63.182000499706774,-74.21333337044003,102.69,-66.31575012207031,-66.20719909667969,110.0,6.405253331865975,-73.60019556082159,-0.8251898987015398,0.6136692520857293,0.30544616561593857,8.597591098973222,7.310000000000002,11.285152755064667
SGC2023tkswow,1,4,-62.27966429590248,-50.094000000000015,109.44,-66.31575012207031,-36.20719909667969,120.0,6.67474668436328,-73.60019556082159,-0.847252098644093,0.7400732601270796,0.20067585152630668,14.461439351760639,10.560000000000002,17.90661408878438
SGC2022wnhcmb,1,4,-40.54991719946178,64.99232662956003,28.66,-46.31574630737305,53.79280090332031,20.0,7.483226741855195,-73.41918405927181,-0.11413886892493252,0.9168579023756697,0.6035061219610265,12.5965932614474,-8.66,15.28626055627543
SGC2022wyzgqh,1,5,-72.24219998296445,-70.44700662955997,106.67,-76.31575012207031,-66.20719909667969,120.0,6.405253331865975,-73.69070129433389,-1.38869496589232,0.2064578117844622,0.14530059468723316,5.879607015071478,13.329999999999998,14.569100131843342
SGC2025tqjmsm,1,5,-57.528584079071166,-25.956113370439986,115.0,-56.31574630737305,-16.207199096679688,130.0,6.854408919361483,-73.5096897927841,-1.1741965475759564,0.34710837391725125,0.276565189883159,9.824067639098631,15.0,17.930764205063458
SGC2023ujldhq,1,4,-82.83084848963412,-54.41692662955996,99.76,-76.31575012207031,-46.20719909667969,110.0,6.584915566864178,-73.69070129433389,-1.1803074678545915,0.6354726353083266,0.10844320171927721,10.480750588730036,10.239999999999995,14.652772191744637
SGC2025yyafzv,1,6,-62.51905907410248,-47.96036662955998,108.92,-56.31574630737305,-46.20719909667969,120.0,6.584915566864178,-73.5096897927841,-1.2867115441520598,0.8227722338413281,0.281308461473058,6.446292397976834,11.079999999999998,12.818778634496107
SGC2024edrgjo,1,4,-90.56516512168477,26.47560662956002,93.37,-76.31575012207031,13.792799949645996,80.0,7.123902263291825,-73.69070129433389,2.197631510546774,0.5778118358456766,0.4567744666098793,19.07614775344617,-13.370000000000005,23.294984720134703
SGC2023ttuyqu,1,4,-62.96102002450429,-75.73470662956001,110.08,-56.31574630737305,-76.20719909667969,120.0,6.315422214366873,-73.5096897927841,-1.316338999090025,0.8951613945555679,0.3248338850510245,6.662050127932105,9.920000000000002,11.94944818420835
SGC2024txdsmm,1,4,-89.42343192987555,21.874380000000038,34.25,-86.31575012207031,13.792799949645996,30.0,7.123902263291825,-73.78120702784618,0.5301409687495191,0.9084326236366999,0.3927346682941136,8.658500004552986,-4.25,9.645316082370968
SGC2026avqhxb,1,6,-96.47639283332282,-15.343606629559963,91.94,-96.31575012207031,-16.207199096679688,100.0,6.854408919361483,-73.87171276135847,-0.9892432786442376,0.5334512149701118,0.4348317226375523,0.8784065288603502,8.060000000000002,8.107724590163663
SGC2024slcvvx,1,4,-58.19152550467546,48.47986000000002,112.02,-46.31574630737305,43.79280090332031,120.0,7.393395624356093,-73.41918405927181,-0.8146861106392258,0.639454377019352,0.15408808646527708,12.767249293361855,7.980000000000004,15.055997294063546
SGC2024bdxchu,1,4,-49.97841710642145,-14.286066629559954,117.52,-46.31574630737305,-16.207199096679688,130.0,6.854408919361483,-73.41918405927181,-0.8511926196748654,0.2569743704510705,0.23834975603424263,4.13592883623781,12.480000000000004,13.147482927862029
SGC2023jdezjr,1,4,-82.13107624822828,86.92236662956003,92.62,-76.31575012207031,73.79280090332031,80.0,7.662888976853399,-73.69070129433389,0.908871170620845,0.2748973460731348,0.11904990465822006,14.359788094300841,-12.620000000000005,19.11721512441664
SGC2026aqjter,1,5,-77.43524115019758,-53.582026629560026,98.94,-76.31575012207031,-46.20719909667969,100.0,6.584915566864178,-73.69070129433389,-0.5235134532135195,0.294002349606682,0.1705993940255077,7.4593123880011465,1.0600000000000023,7.534251210424787
SGC2025uwhqgz,1,5,-77.61939191450021,-70.85517999999998,111.6,-76.31575012207031,-56.20719909667969,110.0,6.495084449365076,-73.69070129433389,0.3450254348843078,0.24968275689266117,0.21424668857947465,14.705877276347906,-1.5999999999999943,14.792661236809478
SGC2022yjefnu,1,4,-48.28423383151087,-36.77270662955995,118.88,-56.31574630737305,-26.207199096679688,120.0,6.764577801862382,-73.5096897927841,-0.5105514350827818,0.6176098442232337,0.26442236056321095,13.271591542738172,1.1200000000000045,13.318766537381732
