event_id,n_picks,depth_km,azimuthal_gap_deg,min_local_rms_s,candidate_nodes,accepted_nodes_delta_0p20s,accepted_nodes_delta_0p10s,horizontal_uncertainty_0p20_km,depth_uncertainty_0p20_km,origin_time_uncertainty_0p20_s,horizontal_uncertainty_0p10_km,depth_uncertainty_0p10_km,origin_time_uncertainty_0p10_s
SGC2026cobfzy,4,140.0,142.94100000000003,0.19308825329773013,125,13,5,22.360679774997898,30.0,1.0417061650792852,14.142135623730951,20.0,0.6725270519883977
SGC2022yvnkiu,5,20.0,142.94100000000003,0.23119340372214256,75,2,1,0.0,10.0,0.08471591383427324,0.0,0.0,0.0
SGC2025kdgrwm,4,110.0,159.993,0.2797987738017958,125,16,7,22.360679774997898,40.0,1.266092547434694,14.142135623730951,40.0,1.164224419125798
SGC2024vjmsdf,4,50.0,266.71299999999997,0.13149327601567137,125,13,3,22.360680627990142,30.0,1.501435136585411,20.0,10.0,0.45524049029581193
SGC2025visyjq,4,40.0,205.075,0.20541448405751664,125,9,5,22.36067934850178,30.0,1.2560141570570307,22.36067934850178,20.0,1.03371469028982
SGC2025ueghrb,4,140.0,156.937,0.18748255436966335,125,6,4,22.360681480982638,20.0,0.8514446854825052,22.360681480982638,10.0,0.5172992993279939
SGC2025cjxgod,4,20.0,152.74099999999999,0.3632770962977287,75,3,1,10.0,20.0,0.44321177365187614,0.0,0.0,0.0
SGC2025ttjzny,4,30.0,224.38600000000002,0.2730631403927111,60,7,6,20.0,30.0,0.552107766375552,10.0,30.0,0.4801040009496803
SGC2024cjxjdx,4,40.0,323.976,0.35298565111110436,60,48,31,28.284271247461902,40.0,1.324086965764508,28.284271247461902,40.0,1.4356130384136834
SGC2023mxsglw,4,20.0,231.64000000000001,0.459115486282432,75,13,6,20.0,20.0,1.0247246188689914,20.0,10.0,0.9989295087639055
SGC2024tsordo,4,40.0,286.315,0.10163256752407476,125,15,1,22.360680627990142,30.0,1.7464001566247016,22.360680627990142,0.0,0.0
SGC2025uvlboq,4,70.0,155.77800000000002,0.18250106155383025,125,5,3,10.0,30.0,0.9279617730616857,0.0,20.0,0.6286352864723409
SGC2022uzsgqi,4,20.0,279.99300000000005,0.5671269395395098,60,8,4,14.142136298080542,20.0,0.8241458645826807,14.142136298080542,20.0,0.5682697346016727
SGC2026dyaxpc,4,40.0,173.993,0.1882358684827099,125,5,3,14.142135623730951,20.0,0.7170167817248699,10.0,20.0,0.7440782630579507
