event_id,round,n_picks,catalog_x_km,catalog_y_km,catalog_z_km,x_km,y_km,depth_km,lat,lon,origin_time_shift_s,rms_before_s,rms_after_s,horizontal_shift_km,vertical_shift_km,total_shift_km,vp_final_km_s,dvp_percent,vp_active,hit_count
SGC2024bwufrq,2,4,-96.31575012207033,13.792799949645996,40.0,-86.31575012207031,13.792799949645996,30.0,7.123902263291825,-73.78120702784618,1.380795720125716,0.2273218484680106,0.215579450525181,10.0,-10.0,14.142135623730953,7.480250454354766,-0.684392710137865,True,36
SGC2023wmepbp,2,4,-56.31574630737305,-46.20719909667969,120.0,-66.31575012207031,-36.20719909667969,130.0,6.67474668436328,-73.60019556082159,-0.693643361123689,0.5859361546389423,0.3700263512290477,14.142138321129512,10.0,17.320510278105544,8.843973386553555,0.765349896576419,True,241
SGC2025zfzefr,2,4,-116.31575012207033,-46.20719909667969,30.0,-116.31575012207033,-46.20719909667969,20.0,6.584915566864178,-74.05272422838306,0.2896615949915588,0.1872809326648642,0.0839776843520542,0.0,-10.0,10.0,7.19008810886665,-0.4142892270666827,True,45
SGC2023itlddj,2,4,-66.31575012207031,-16.207199096679688,130.0,-76.31575012207031,-16.207199096679688,140.0,6.854408919361483,-73.69070129433389,-1.3885350524496225,0.2857254230219633,0.1137891062276668,10.0,10.0,14.142135623730953,8.072999954223633,0.0,False,10
SGC2023trdyfr,2,4,-76.31575012207031,-76.20719909667969,120.0,-76.31575012207031,-76.20719909667969,120.0,6.315422214366873,-73.69070129433389,-0.1149012386537364,0.1708272115889746,0.1708272115889746,0.0,0.0,0.0,9.131743165094498,0.5257049480909123,True,26
SGC2024ajhwbu,2,4,-46.31574630737305,-16.207199096679688,130.0,-56.31574630737305,-6.207200050354004,140.0,6.944240028293622,-73.5096897927841,-0.9365036436496244,0.4698441775707243,0.3622562046847584,14.14213494938139,10.0,17.32050752508467,8.279999732971191,0.0,False,17
SGC2023aflejx,2,5,-116.31575012207033,13.792799949645996,20.0,-116.31575012207033,13.792799949645996,30.0,7.123902263291825,-74.05272422838306,-0.1451822369875905,0.5599874689013238,0.548068374670846,0.0,10.0,10.0,7.003399848937988,0.0,False,9
SGC2026evjiii,2,5,-116.31575012207033,73.79280090332031,60.0,-106.31575012207033,63.79280090332031,50.0,7.573057859354296,-73.96221849487077,2.0024001659124373,0.739649624938149,0.6962065395453495,14.142135623730953,-10.0,17.320508075688775,7.789099693298341,0.0,False,16
SGC2023vmkviq,2,5,-76.31575012207031,-56.20719909667969,100.0,-86.31575012207031,-46.20719909667969,110.0,6.584915566864178,-73.78120702784618,-0.105592394236563,0.4421796247059741,0.3630507663592665,14.142135623730953,10.0,17.320508075688775,8.743788735916274,-3.74504509117299,True,191
SGC2025oysler,2,4,-136.3157501220703,83.79280090332031,80.0,-146.3157501220703,73.79280090332031,90.0,7.662888976853399,-74.32424142891993,-0.8838260734020036,1.007813124570508,0.6815012857576351,14.142135623730953,10.0,17.320508075688775,7.829249858856201,0.0,False,4
SGC2024atmksv,2,4,-76.31575012207031,13.792799949645996,20.0,-76.31575012207031,13.792799949645996,20.0,7.123902263291825,-73.69070129433389,0.1270062757472674,0.3154441970593129,0.3154441970593129,0.0,0.0,0.0,7.265884017785708,0.6355156361138696,True,31
SGC2026bkcbei,2,4,-66.31575012207031,-46.20719909667969,120.0,-66.31575012207031,-46.20719909667969,110.0,6.584915566864178,-73.60019556082159,1.0211071986150788,0.1808712457439432,0.1507461400018693,0.0,-10.0,10.0,12.307339955821446,-2.5376463352397445,True,239
SGC2024dojoro,2,4,-46.31574630737305,23.792800903320312,120.0,-56.31574630737305,33.79280090332031,120.0,7.303564506856992,-73.5096897927841,-0.6050136161902042,0.3287744165939696,0.1160435973894619,14.142135623730953,0.0,14.142135623730953,9.18722694815024,1.1364915530170336,False,19
SGC2026eerlzu,2,4,-56.31574630737305,-46.20719909667969,120.0,-66.31575012207031,-36.20719909667969,120.0,6.67474668436328,-73.60019556082159,0.285810716653506,0.2847087730336782,0.20119831601664,14.142138321129512,0.0,14.142138321129512,9.163566173883268,0.876024742923565,True,198
SGC2024cltarn,2,4,-96.31575012207033,-6.207200050354004,90.0,-86.31575012207031,-6.207200050354004,80.0,6.944240028293622,-73.78120702784618,1.6863591325311056,0.1085533658346118,0.1052680047594075,10.0,-10.0,14.142135623730953,8.694414333283275,-2.393637909978298,True,646
SGC2026cbmdpr,2,4,-56.31574630737305,-46.20719909667969,130.0,-56.31574630737305,-46.20719909667969,120.0,6.584915566864178,-73.5096897927841,0.9402520585033348,0.1426497095652998,0.1042700237650714,0.0,-10.0,10.0,9.050654387282263,-0.3669511861850363,True,170
SGC2023spirjn,2,4,-56.31574630737305,-46.20719909667969,130.0,-66.31575012207031,-36.20719909667969,120.0,6.67474668436328,-73.60019556082159,1.0340543427106148,0.3159703910183097,0.178218127721342,14.142138321129512,-10.0,17.320510278105544,9.163566173883268,0.876024742923565,True,198
SGC2023iixzcc,2,5,-116.31575012207033,43.79280090332031,80.0,-116.31575012207033,43.79280090332031,70.0,7.393395624356093,-74.05272422838306,0.5194937991012019,0.2671023220398551,0.2359844738603614,0.0,-10.0,10.0,8.809713363647461,0.0,False,15
SGC2023aarcxm,2,4,-76.31575012207031,-26.207199096679688,110.0,-76.31575012207031,-26.207199096679688,110.0,6.764577801862382,-73.69070129433389,0.0499066080659584,0.1597018972272174,0.1597018972272174,0.0,0.0,0.0,9.06557339282536,-0.20271709393887902,True,60
SGC2022vwoysu,2,4,-66.31575012207031,-56.20719909667969,110.0,-66.31575012207031,-66.20719909667969,100.0,6.405253331865975,-73.60019556082159,0.1148631910488919,0.1935847767623106,0.1634724875846653,10.0,-10.0,14.142135623730953,8.244786676575472,-0.8170542435728517,True,27
SGC2024vugkde,2,4,-66.31575012207031,-36.20719909667969,130.0,-66.31575012207031,-36.20719909667969,140.0,6.67474668436328,-73.60019556082159,-0.981207369481659,0.2290237443847033,0.1518091281169693,0.0,10.0,10.0,8.324317074206332,0.5352336070575954,True,42
SGC2024raxrkz,2,6,-56.31574630737305,83.79280090332031,110.0,-56.31574630737305,93.79280090332033,120.0,7.842551211851601,-73.5096897927841,-1.3628986618698669,0.6725963719668462,0.6417040491770714,10.0,10.0,14.142135623730953,9.083988189697266,0.0,False,6
SGC2026czgcvh,2,5,-116.31575012207033,33.79280090332031,70.0,-116.31575012207033,23.792800903320312,60.0,7.21373338935789,-74.05272422838306,0.8549754188913496,0.6037630502105799,0.2137935063167251,10.0,-10.0,14.142135623730953,8.061718940734863,0.0,False,17
SGC2022yjuevm,2,4,-86.31575012207031,13.792799949645996,30.0,-86.31575012207031,3.792799949645996,40.0,7.034071145792724,-73.78120702784618,0.0977090832850651,0.3801059040182671,0.1855921851081662,10.0,10.0,14.142135623730953,8.033854172575479,0.04800049480028409,True,87
SGC2022ycfyzh,2,5,-56.31574630737305,-26.207199096679688,120.0,-56.31574630737305,-26.207199096679688,130.0,6.764577801862382,-73.5096897927841,-0.8161019909820091,0.2922655602424591,0.2265964139773456,0.0,10.0,10.0,9.119283338145399,0.388542429944635,True,226
SGC2023yrmofd,2,4,-86.31575012207031,13.792799949645996,30.0,-86.31575012207031,3.792799949645996,40.0,7.034071145792724,-73.78120702784618,0.0253556823941516,0.4208045694094641,0.1131968583241739,10.0,10.0,14.142135623730953,8.033854172575479,0.04800049480028409,True,87
SGC2025uxswrv,2,5,-106.31575012207033,43.79280090332031,70.0,-106.31575012207033,33.79280090332031,70.0,7.303564506856992,-73.96221849487077,0.7793630069184445,0.3692796641871612,0.1509560290897198,10.0,0.0,10.0,8.728308202986238,-0.9240386979800579,False,18
SGC2023tmuazc,2,4,-46.31574630737305,-36.20719909667969,120.0,-46.31574630737305,-36.20719909667969,130.0,6.67474668436328,-73.41918405927181,-0.7207078653498247,0.2018784004955691,0.1665763902142334,0.0,10.0,10.0,9.351581723847115,2.945771488929768,True,76
SGC2025cqrwap,2,5,-106.31575012207033,13.792799949645996,30.0,-106.31575012207033,13.792799949645996,30.0,7.123902263291825,-73.96221849487077,0.0639148814033161,0.1377090475301799,0.1377090475301799,0.0,0.0,0.0,7.219999790191651,0.0,False,8
SGC2026aodwcx,2,4,-86.31575012207031,-56.20719909667969,80.0,-86.31575012207031,-56.20719909667969,70.0,6.495084449365076,-73.78120702784618,0.8625254340116619,0.3008734510999615,0.1166012383693882,0.0,-10.0,10.0,7.862471602060589,0.9419818933037516,True,35
SGC2023hrwvis,2,4,-76.31575012207031,-46.20719909667969,110.0,-76.31575012207031,-46.20719909667969,110.0,6.584915566864178,-73.69070129433389,0.0582329551213485,0.2172945971396238,0.2172945971396238,0.0,0.0,0.0,9.03564464032637,-0.5321841944458479,True,296
SGC2022xndkre,2,4,-76.31575012207031,33.79280090332031,40.0,-76.31575012207031,43.79280090332031,40.0,7.393395624356093,-73.69070129433389,-1.114049124627865,0.1532712398134215,0.0618403987621167,10.0,0.0,10.0,7.844362967395365,-2.311790432739388,True,36
SGC2025pckcqe,2,5,-46.31574630737305,63.79280090332031,130.0,-46.31574630737305,53.79280090332031,120.0,7.483226741855195,-73.41918405927181,1.456257391608247,0.4384415537634178,0.3328128603703625,10.0,-10.0,14.142135623730953,9.07134079839454,-0.13922729795123426,True,21
SGC2023scytrc,2,7,-156.3157501220703,23.792800903320312,40.0,-156.3157501220703,23.792800903320312,40.0,7.21373338935789,-74.41474716243223,-0.0362653955016689,0.2451291152396875,0.2451291152396875,0.0,0.0,0.0,8.061718940734863,0.0,False,17
SGC2022vukpun,2,4,-56.31574630737305,-26.207199096679688,120.0,-66.31575012207031,-16.207199096679688,130.0,6.854408919361483,-73.60019556082159,-0.6896234120111089,0.3635957198048553,0.2875274213899467,14.142138321129512,10.0,17.320510278105544,8.857993702426658,0.9250928054324823,True,20
SGC2022yesuam,2,4,-66.31575012207031,-76.20719909667969,110.0,-76.31575012207031,-76.20719909667969,120.0,6.315422214366873,-73.69070129433389,-0.2768984567310237,0.4973133718122635,0.3149028731067455,10.0,10.0,14.142135623730953,9.131743165094498,0.5257049480909123,True,26
SGC2023iywhuy,2,4,-116.31575012207033,43.79280090332031,80.0,-116.31575012207033,43.79280090332031,70.0,7.393395624356093,-74.05272422838306,0.5451078238662168,0.2472498856327272,0.2304246422896944,0.0,-10.0,10.0,8.809713363647461,0.0,False,15
SGC2024rmmmjj,2,4,-46.31574630737305,73.79280090332031,110.0,-46.31574630737305,63.79280090332031,100.0,7.573057859354296,-73.41918405927181,1.4629604570649466,0.4138735985885196,0.2730813303422884,10.0,-10.0,14.142135623730953,8.031599998474121,0.0,False,17
