event_id,event_final_rms_s_preferred,event_final_rms_s_1d
SGC2023bmveut,0.29671558824824196,0.3573407696261179
SGC2023bptttf,0.28463682491524495,0.31123442385690553
SGC2023bqqkpt,0.16903070163080616,0.2680378553986766
SGC2023bryayr,0.10039299056193932,0.4083614576676003
SGC2023bryest,0.043991328462331454,0.277698134750262
SGC2023btrmae,0.11140052668436067,0.15300652712470442
SGC2023btwpai,0.13518459799217972,0.10963621875233148
SGC2023bubshu,0.3343425695710202,0.18234610532388326
SGC2023bvylye,0.4840684439949486,0.4247572451125832
SGC2023bxwlxf,0.17529451949796246,0.027586653278684963
SGC2023ccmkpf,0.6188109225994735,0.7109431853273447
SGC2023cdhrcc,0.22687100392626247,0.06987001824788273
SGC2023cftens,0.6533536930737025,0.463976738517152
SGC2023cmxeaj,0.19251788818444612,0.3099937576808283
SGC2023cqpkhc,0.23530276652420734,0.2453984082408302
SGC2023cqwxbx,0.19571162262881528,0.2555505587243491
SGC2023cqxnny,0.26116705986230776,0.1910862344871816
SGC2023crclaa,0.2830869343071227,0.324050386279627
SGC2023cvqvao,0.42100733198635587,0.2875348869676412
SGC2023cxhxqa,0.2691282876773639,0.1428344475177808
SGC2023cxspid,0.42894149403468274,0.25049525034328685
SGC2023cxypfl,0.3144712977650989,0.24345488732746323
SGC2023czddpf,0.22380456211607141,0.24974358390160048
SGC2023davskd,0.2595722005849556,0.0804544089623206
SGC2023dblhaf,0.1572225234528227,0.3881773525609469
SGC2023dcdodo,0.15732972892299213,0.128979679558836
SGC2023ddbnjb,0.19177838694868377,0.19914284670939625
SGC2023ddhfnc,0.4886708176895801,0.37451054221439567
SGC2023ddosjo,0.3322821926011329,0.49065169769408185
SGC2023deghwb,0.2868965621286611,0.11737794489684049
SGC2023deiask,0.4431018746114684,0.43476139117419127
SGC2023dnvdvy,0.18457102721268784,0.21885158508569458
SGC2023drpkur,0.1771534288874922,0.24036475465639
SGC2023ebcpwv,0.15674401185689937,0.34710422265619206
SGC2023eemyvp,0.11160832724229161,0.17680289025697507
SGC2023ekgszq,0.1901314023673391,0.35577005846594845
SGC2023eszijx,0.2469713705046351,0.37367398941422625
