event_id,n_picks,depth_km,selection_group,rms_residual_s,mad_residual_s,p90_abs_residual_s,median_residual_s,azimuthal_gap_deg
SGC2024tcetdl,4,120.0,domain_20_120,0.21155191363367165,0.12909991988319774,0.3131302980902,0.0521997519033181,212.43
SGC2022zdjlqx,5,20.0,domain_20_120,0.3818438360928359,0.2211004248075142,0.5629179643180567,-0.1403136464745884,146.37
SGC2024mgluio,5,70.0,domain_20_120,0.8761307881301162,0.7091261249064391,1.3663002962729192,0.1241551754135201,231.098
SGC2023qbzxlp,4,50.0,domain_20_120,0.5167489211022259,0.6412835264272407,0.6776343610573385,-0.017927238618259594,274.48300000000006
SGC2024pprutt,4,90.0,domain_20_120,0.2503362901406318,0.1952261399224634,0.3573239112625473,-0.027485414101976247,308.523
SGC2026azfcut,5,110.0,domain_20_120,0.33089847318595805,0.5446952317335529,0.44409984692762877,0.0904310126635881,147.95
SGC2024txdwii,4,120.0,domain_20_120,0.220980583727827,0.10783459540126807,0.32931697323318865,0.0606246836227235,223.408
SGC2024bqvqla,4,120.0,domain_20_120,0.0675361618810539,0.043075573715871895,0.09426265899372871,0.0583672530851924,147.353
SGC2026cfguwl,5,130.0,domain_20_120,0.15170155870577948,0.12221522173686847,0.23462768328078026,0.0122315198014071,142.909
SGC2024vkfmqs,5,20.0,domain_20_120,0.2004452311474554,0.22823367784467188,0.24837262784724032,0.0808941839429167,258.657
SGC2023uuhjpr,4,110.0,domain_20_120,0.20483937751173073,0.23079868413881807,0.2685957161283792,-0.046861049598677,266.10900000000004
SGC2023scsezk,4,130.0,domain_20_120,0.11708844085904192,0.14229398962695858,0.16365722002780383,-0.0152826146329801,193.469
SGC2023qrpkqd,4,40.0,domain_20_120,0.2730967709830616,0.29790026937806985,0.3797301807140549,0.0421709759324198,193.469
SGC2023ddhfnc,4,140.0,domain_20_120,0.4886708176895801,0.6973226068209801,0.5526108920900509,0.02303949206000236,195.38199999999998
SGC2023qqaqaj,5,120.0,domain_20_120,0.18154939368595863,0.1504067913379189,0.2836437513770271,-0.0790571170089755,176.09199999999998
SGC2022yshsek,4,100.0,domain_20_120,0.1884780145250589,0.053466004457023646,0.23988429386708354,-0.13639510278760794,209.552
SGC2023vcepsh,5,140.0,domain_20_120,0.4107050887201455,0.3090560754157483,0.630442092356661,-0.1217797862001504,217.18300000000002
SGC2023sqepsi,4,120.0,domain_20_120,0.42724735393025554,0.3324631005403069,0.6319735361603347,0.0529737896902453,212.43
SGC2025yzjqpb,4,100.0,domain_20_120,0.16312044433015288,0.1729329064058814,0.22083208422335385,0.06343088259457814,153.40800000000002
SGC2024rwlcgo,5,140.0,domain_20_120,0.3544716224851518,0.400012110840214,0.4907108504905132,0.0927764659289955,118.554
SGC2025tvsxzl,4,90.0,domain_20_120,0.2678186617748474,0.34451555288109276,0.3255009944580347,0.03698504569689835,243.99500000000003
SGC2024dgzxxb,4,100.0,domain_20_120,0.4274630236671877,0.38585468288609986,0.5957048012779783,-0.044232411373212016,282.283
SGC2024rholox,4,40.0,domain_20_120,0.07445410230461247,0.0800081666528409,0.10931900910957136,-0.019499430838022698,254.161
SGC2025tfaske,4,140.0,domain_20_120,0.22139070333375188,0.04296774517549888,0.32277924151875825,0.08901193912132395,195.38199999999998
SGC2024pgztmu,4,100.0,domain_20_120,0.09173223126443468,0.10595193524186901,0.11355949878865254,0.033961333787153145,226.93
SGC2025xjqrcw,5,130.0,domain_20_120,0.27001015700972003,0.38627061766313686,0.3746907121976569,0.094664557530308,138.122
SGC2024qtimfm,4,90.0,domain_20_120,0.20658608330525244,0.15634704161786217,0.286609939331607,0.0779027779986077,235.34400000000002
SGC2024dohimt,4,130.0,domain_20_120,0.1282642597637583,0.1531015161515422,0.18147919187642358,0.07031701658673666,170.875
SGC2025ntwvyr,4,140.0,domain_20_120,0.19245466269496844,0.14764879360687214,0.265701567191709,0.0973010310925648,280.62199999999996
SGC2024rgurdj,4,120.0,domain_20_120,0.3036282049846411,0.3493706933164992,0.3763638914194822,0.10754515012173284,156.937
SGC2026baiaoh,4,130.0,domain_20_120,0.38385811989722196,0.29948600144179643,0.576201181328798,-0.0306854623426549,177.226
SGC2023cdhrcc,4,110.0,domain_20_120,0.22687100392626247,0.2619976008437819,0.32456609309064743,-0.0160440547449872,166.13599999999997
SGC2023wjpoym,5,90.0,domain_20_120,0.39347062698711044,0.6034918923865271,0.5745379384650466,-0.1221309235219152,144.115
SGC2022xalvej,4,130.0,domain_20_120,0.09078807168099005,0.10976623077320626,0.123306869556837,0.0075775606764985,195.38199999999998
SGC2025rixoxi,4,40.0,domain_20_120,0.16583665274932524,0.1896969668829261,0.23488789659575937,0.06377608445972255,198.90099999999998
SGC2023qtjdxp,5,130.0,domain_20_120,0.14740980143525267,0.18458526619988821,0.2008450422288277,-0.1238251310168081,138.122
SGC2024bxralz,4,20.0,domain_20_120,0.1817742399494359,0.1812943032799413,0.2612639197492169,0.05263615304059005,198.90099999999998
SGC2022xdqijv,5,120.0,domain_20_120,0.268416510704035,0.2732177856809792,0.3405519323187427,0.1121161026201527,166.13599999999997
SGC2024qflkpy,5,110.0,domain_20_120,0.2776275613852756,0.30440190276533574,0.411630403562841,0.0355988995516316,196.019
SGC2025qepyjp,5,30.0,domain_20_120,0.10732306068655904,0.14801461778882302,0.13843353961092536,0.0153210274700086,138.48000000000002
SGC2026dhvymj,4,110.0,domain_20_120,0.2676440505564363,0.2784413939387264,0.36409237191487265,0.06741607462805016,159.08500000000004
SGC2025kzjxsz,4,30.0,domain_20_120,0.28449368639130646,0.14381251741302056,0.40979571794142555,0.08845042602397289,239.91399999999993
SGC2024bkqtbf,4,20.0,domain_20_120,0.37402698489161706,0.34526666891654856,0.5237710820058492,-0.029776272908803997,283.77299999999997
SGC2025zdcurr,4,90.0,domain_20_120,0.43255246809479164,0.5021500398614818,0.616987492013363,-0.007495271896320141,223.31300000000002
SGC2024pxcemr,5,100.0,domain_20_120,0.3389024497298928,0.3040624776359373,0.5198655062858535,0.0395460883038154,251.928
