event_id,round_preferred,n_picks_preferred,catalog_x_km_preferred,catalog_y_km_preferred,catalog_z_km_preferred,relocated_x_km_preferred,relocated_y_km_preferred,relocated_z_km_preferred,relocated_lat_preferred,relocated_lon_preferred,origin_time_shift_s_preferred,rms_before_s_preferred,rms_after_s_preferred,horizontal_shift_km_preferred,vertical_shift_km_preferred,total_shift_km_preferred,round_1d,n_picks_1d,catalog_x_km_1d,catalog_y_km_1d,catalog_z_km_1d,relocated_x_km_1d,relocated_y_km_1d,relocated_z_km_1d,relocated_lat_1d,relocated_lon_1d,origin_time_shift_s_1d,rms_before_s_1d,rms_after_s_1d,horizontal_shift_km_1d,vertical_shift_km_1d,total_shift_km_1d,run_horizontal_difference_km,run_vertical_difference_km,run_total_difference_km
SGC2023qylyeu,2,7,-66.31575012207031,-66.20719909667969,120.0,-76.31575012207031,-56.20719909667969,130.0,6.495084449365076,-73.69070129433389,-0.5186211803180107,0.357640660516839,0.1041263920011628,14.142135623730953,10.0,17.320508075688775,2,7,-76.31575012207031,-66.20719909667969,120.0,-76.31575012207031,-66.20719909667969,130.0,6.405253331865975,-73.69070129433389,-0.7999966663949962,0.295038439980768,0.2299121224039396,0.0,10.0,10.0,10.0,0.0,10.0
SGC2024pkfxmx,2,6,-66.31575012207031,-76.20719909667969,120.0,-76.31575012207031,-66.20719909667969,130.0,6.405253331865975,-73.69070129433389,-0.1992168765640816,0.3237310150156855,0.2078129270512032,14.142135623730953,10.0,17.320508075688775,2,6,-76.31575012207031,-76.20719909667969,120.0,-76.31575012207031,-76.20719909667969,130.0,6.315422214366873,-73.69070129433389,-0.7049137567972377,0.3415095634171103,0.2215993168650764,0.0,10.0,10.0,10.0,0.0,10.0
SGC2024aqxgtc,2,7,-56.31574630737305,-36.20719909667969,120.0,-66.31575012207031,-36.20719909667969,130.0,6.67474668436328,-73.60019556082159,-1.0891293249850804,0.2567673949151504,0.2494568535636648,10.000003814697266,10.0,14.142138321129512,2,7,-56.31574630737305,-36.20719909667969,130.0,-56.31574630737305,-36.20719909667969,120.0,6.67474668436328,-73.5096897927841,1.0089048309993167,0.2647254398571103,0.1980493923239234,0.0,-10.0,10.0,10.000003814697266,10.0,14.142138321129513
SGC2023yteipo,2,7,-36.31574630737305,-26.207199096679688,130.0,-46.31574630737305,-16.207199096679688,140.0,6.854408919361483,-73.41918405927181,-0.0567490502316374,0.2536508376475133,0.195070340239343,14.142135623730953,10.0,17.320508075688775,2,7,-46.31574630737305,-16.207199096679688,130.0,-46.31574630737305,-16.207199096679688,140.0,6.854408919361483,-73.41918405927181,-0.8228363555914839,0.3102164179006376,0.2232244429971375,0.0,10.0,10.0,0.0,0.0,0.0
SGC2025dpitar,2,6,-96.31575012207033,-26.207199096679688,90.0,-106.31575012207033,-26.207199096679688,100.0,6.764577801862382,-73.96221849487077,-1.1642676260517124,0.2396355431423573,0.1887781620326194,10.0,10.0,14.142135623730953,2,6,-106.31575012207033,-26.207199096679688,100.0,-106.31575012207033,-26.207199096679688,100.0,6.764577801862382,-73.96221849487077,-0.1061539870948857,0.1903597174981947,0.1903597174981947,0.0,0.0,0.0,0.0,0.0,0.0
SGC2023ymlbqd,2,6,-66.31575012207031,-66.20719909667969,100.0,-66.31575012207031,-66.20719909667969,100.0,6.405253331865975,-73.60019556082159,0.0039888225657112,0.1961251978866224,0.1961251978866224,0.0,0.0,0.0,2,6,-66.31575012207031,-76.20719909667969,100.0,-66.31575012207031,-76.20719909667969,100.0,6.315422214366873,-73.60019556082159,0.0971361390936031,0.3062983486300539,0.3062983486300539,0.0,0.0,0.0,10.0,0.0,10.0
SGC2023aquzjv,2,6,-76.31575012207031,-56.20719909667969,120.0,-76.31575012207031,-56.20719909667969,120.0,6.495084449365076,-73.69070129433389,0.0532172900442287,0.0944138823401563,0.0944138823401563,0.0,0.0,0.0,2,6,-76.31575012207031,-66.20719909667969,120.0,-76.31575012207031,-76.20719909667969,130.0,6.315422214366873,-73.69070129433389,-1.2641500968963475,0.1760273959056683,0.1150625652450916,10.0,10.0,14.142135623730953,20.0,10.0,22.360679774997898
SGC2023tagwzz,2,7,-66.31575012207031,-76.20719909667969,120.0,-66.31575012207031,-76.20719909667969,120.0,6.315422214366873,-73.60019556082159,-0.0280363134254031,0.1544157357927092,0.1544157357927092,0.0,0.0,0.0,2,7,-76.31575012207031,-66.20719909667969,120.0,-76.31575012207031,-76.20719909667969,130.0,6.315422214366873,-73.69070129433389,-1.2341462643507022,0.4222558268973302,0.3725845252915752,10.0,10.0,14.142135623730953,10.0,10.0,14.142135623730951
SGC2022zdncla,2,4,-146.3157501220703,-46.20719909667969,50.0,-136.3157501220703,-36.20719909667969,60.0,6.67474668436328,-74.23373569540765,1.6445382161020774,2.7981313355283093,0.9827312153458349,14.142135623730953,10.0,17.320508075688775,2,4,-146.3157501220703,-46.20719909667969,50.0,-136.3157501220703,-36.20719909667969,60.0,6.67474668436328,-74.23373569540765,1.5000417159230786,2.4259882036641187,0.7010396399468929,14.142135623730953,10.0,17.320508075688775,0.0,0.0,0.0
SGC2024pyionv,2,7,-76.31575012207031,-56.20719909667969,120.0,-76.31575012207031,-56.20719909667969,120.0,6.495084449365076,-73.69070129433389,0.1295942638600031,0.1784714136195385,0.1784714136195385,0.0,0.0,0.0,2,7,-76.31575012207031,-66.20719909667969,120.0,-76.31575012207031,-66.20719909667969,130.0,6.405253331865975,-73.69070129433389,-0.7862032200551496,0.3097122463558148,0.1760303063646847,0.0,10.0,10.0,10.0,10.0,14.142135623730951
