lon,lat,x_km,y_km,slab_depth_km,nearest_control_event_km,confidence,vp_final_km_s,dvp_percent_on_surface,vp_active_surface,hit_count_surface,tomography_supported_slab
-73.78943480889849,6.386331458179994,-87.22483960546629,-68.31358207540309,104.0104377944457,2.294186771358608,high,9.213471331257715,0.6333491584536699,True,73.0,True
-73.77791589701182,6.386331458179994,-85.95211229420673,-68.31358207540309,105.34643037177007,2.1375410459004103,high,9.240597222482021,0.8772072372461807,True,124.0,True
-73.76639698512516,6.386331458179994,-84.67938498294714,-68.31358207540309,106.33965886894887,2.667309528643661,high,9.267391054344598,0.8915823170331448,True,124.0,True
-73.75487807323849,6.386331458179994,-83.40665767168758,-68.31358207540309,107.10738861699892,3.591610799895984,high,9.312889142404543,0.9111216294009172,True,124.0,True
-73.74335916135182,6.386331458179994,-82.13393036042801,-68.31358207540309,107.77908040208392,4.682356860803942,high,9.373761385000101,0.9483083456976416,True,124.0,True
-73.73184024946515,6.386331458179994,-80.86120304916844,-68.31358207540309,108.44224971156859,5.00978957297815,high,9.450961475661382,1.0182640328951946,True,88.0,True
-73.72032133757848,6.386331458179994,-79.58847573790888,-68.31358207540309,109.15924480252653,3.891989492486022,high,9.548190517784832,1.138062656321131,True,88.0,True
-73.70880242569181,6.386331458179994,-78.31574842664931,-68.31358207540309,109.98815197390958,2.904624325343043,high,9.671935049751688,1.3299469864279163,True,88.0,True
-73.69728351380515,6.386331458179994,-77.04302111538973,-68.31358207540309,111.00038447376023,2.2284012993129165,high,9.67338667751155,1.141698370550121,True,88.0,True
-73.68576460191848,6.386331458179994,-75.77029380413018,-68.31358207540309,112.26675272624246,2.1758611738427813,high,9.603801050390395,0.9015567460899391,True,88.0,True
-73.67424569003181,6.386331458179994,-74.4975664928706,-68.31358207540309,113.75913940114978,2.782560145359934,high,9.466032458916256,0.6096481088249381,True,88.0,True
-73.66272677814514,6.386331458179994,-73.22483918161103,-68.31358207540309,115.33898206822202,3.740398333721497,high,9.341491749367446,0.3688343365918508,True,94.0,True
-73.65120786625847,6.386331458179994,-71.95211187035147,-68.31358207540309,116.86550467271103,4.845429603752336,high,9.23880341219898,0.19384556691232607,True,94.0,True
-73.6396889543718,6.386331458179994,-70.6793845590919,-68.31358207540309,118.22850186674879,4.845426168358815,high,9.161830914063556,0.08685124085682494,True,77.0,True
-73.62817004248514,6.386331458179994,-69.40665724783233,-68.31358207540309,119.34544484410561,3.7403951814136,high,9.110714398754624,0.040551901133521084,True,77.0,True
-73.61665113059847,6.386331458179994,-68.13392993657276,-68.31358207540309,120.1626012599954,2.7825576527575873,high,9.090241565889437,0.07890578992297158,True,77.0,True
-73.6051322187118,6.386331458179994,-66.8612026253132,-68.31358207540309,120.66164618559063,2.1758602175575534,high,9.10347143081347,0.22676716913465822,True,77.0,True
-73.59361330682513,6.386331458179994,-65.58847531405362,-68.31358207540309,120.85766007181984,2.228402544297458,high,9.1065691991388,0.24858034786025315,True,77.0,True
-73.58209439493847,6.386331458179994,-64.31574800279405,-68.31358207540309,120.77318758910376,2.9046269519794117,high,9.097681804702482,0.15074452673492508,True,77.0,True
-73.5705754830518,6.386331458179994,-63.043020691534494,-68.31358207540309,120.43853084452188,3.8919927002181,high,9.08340194442709,-0.006453611100473194,True,77.0,False
-73.55905657116513,6.386331458179994,-61.77029338027492,-68.31358207540309,119.90866302423893,5.009793034107182,high,9.069108707438605,-0.18166415339301725,True,77.0,False
-73.54753765927846,6.386331458179994,-60.49756606901535,-68.31358207540309,119.25160792053374,4.682356860803942,high,9.075105211979682,-0.22795466508161055,False,16.0,False
-73.5360187473918,6.386331458179994,-59.22483875775579,-68.31358207540309,118.52433352616022,3.5916107998959954,high,9.08126038839723,-0.2547180753540839,False,16.0,False
-73.52449983550513,6.386331458179994,-57.95211144649622,-68.31358207540309,117.74316301058619,2.667309528643661,high,9.087109482655064,-0.26037460426608383,False,16.0,False
-73.51298092361846,6.386331458179994,-56.679384135236646,-68.31358207540309,116.85666282875091,2.137541045900413,high,9.093366238997055,-0.2391665160857935,False,16.0,False
-73.50146201173179,6.386331458179994,-55.40665682397707,-68.31358207540309,115.7996346426459,2.294186771358608,high,9.065627074026366,-0.1520609380414633,False,16.0,False
-73.48994309984512,6.386331458179994,-54.133929512717515,-68.31358207540309,114.65616883326243,3.0326842530168907,high,8.994649486371557,-0.06197462246727118,True,20.0,False
-73.47842418795847,6.386331458179994,-52.86120220145794,-68.31358207540309,113.59475337491568,4.046075164003811,high,8.890395749681867,0.0015794133106326325,True,20.0,True
-73.4669052760718,6.386331458179994,-51.58847489019837,-68.31358207540309,112.72567541690786,5.1753206958305835,high,8.761211672813223,0.036536956479155426,True,20.0,True
-73.45538636418513,6.386331458179994,-50.31574757893881,-68.31358207540309,112.0957366617658,6.358996303998621,high,8.618674173606054,0.04710885792239469,False,7.0,False
-73.90462392776516,6.4021952512702605,-99.95211271806197,-66.54762462859458,88.10470187336679,3.652262651057096,high,8.659783390829258,-0.6068622835983064,True,67.0,False
-73.89310501587849,6.4021952512702605,-98.6793854068024,-66.54762462859458,88.95412600176795,2.388024560596056,high,8.721905013893354,-0.27161728867829427,True,67.0,False
-73.88158610399182,6.4021952512702605,-97.40665809554284,-66.54762462859458,89.91746596705148,1.1427903348232502,high,8.802927696630379,-0.010267158471786608,True,67.0,False
-73.87006719210515,6.4021952512702605,-96.13393078428327,-66.54762462859458,91.05924739964433,0.3859375783373012,high,8.851260741509925,0.3823178854596314,True,67.0,True
-73.85854828021849,6.4021952512702605,-94.86120347302369,-66.54762462859458,92.44686264531174,1.4938525687069413,high,8.707140196144838,-0.36679055445136566,True,67.0,False
-73.84702936833182,6.4021952512702605,-93.58847616176413,-66.54762462859458,93.9985677377095,2.748438246958399,high,8.648723953676663,-0.8659190470594572,True,67.0,False
-73.83551045644515,6.4021952512702605,-92.31574885050456,-66.54762462859458,95.67184239832217,4.014461323179894,high,8.685223835039286,-1.0745538301367012,True,111.0,False
-73.82399154455848,6.4021952512702605,-91.04302153924499,-66.54762462859458,97.4394146826514,4.73951311786519,high,8.82313152762631,-0.9647550885943598,True,73.0,False
-73.81247263267183,6.4021952512702605,-89.77029422798543,-66.54762462859458,99.26957821459044,3.4712770737139986,high,9.065348691944159,-0.5196075283539785,True,73.0,False
-73.80095372078516,6.4021952512702605,-88.49756691672584,-66.54762462859458,101.11066858300897,2.208215131779618,high,9.20920739636892,0.06781347003701552,True,73.0,True
-73.78943480889849,6.4021952512702605,-87.22483960546629,-66.54762462859458,102.8629445551,0.9707384980522269,high,9.245428270990384,0.5648232327079686,True,73.0,True
-73.77791589701182,6.4021952512702605,-85.95211229420673,-66.54762462859458,104.26418134409778,0.4981184724870991,high,9.273751756587785,0.8783487457813022,True,73.0,True
-73.76639698512516,6.4021952512702605,-84.67938498294714,-66.54762462859458,105.15658118016252,1.6714007333123706,high,9.291091575420104,0.8709079553844835,True,124.0,True
-73.75487807323849,6.4021952512702605,-83.40665767168758,-66.54762462859458,105.87443812044343,2.9289432271133777,high,9.329823215493754,0.8751158711329607,True,124.0,True
-73.74335916135182,6.4021952512702605,-82.13393036042801,-66.54762462859458,106.5532294362499,4.1956532341986525,high,9.388503605556238,0.9128930827553973,True,124.0,True
-73.73184024946515,6.4021952512702605,-80.86120304916844,-66.54762462859458,107.25441709607848,4.558182955437885,high,9.469242413143867,0.9998297459247654,True,88.0,True
-73.72032133757848,6.4021952512702605,-79.58847573790888,-66.54762462859458,108.01332733384139,3.2903833362308204,high,9.575834959371788,1.150161142979947,True,88.0,True
-73.70880242569181,6.4021952512702605,-78.31574842664931,-66.54762462859458,108.86218858405158,2.0287638505006904,high,9.713934598079039,1.3813484751965406,True,88.0,True
