event_id,round,n_picks,catalog_x_km,catalog_y_km,catalog_z_km,x_km,y_km,depth_km,lat,lon,origin_time_shift_s,rms_before_s,rms_after_s,horizontal_shift_km,vertical_shift_km,total_shift_km,vp_final_km_s,dvp_percent,vp_active,hit_count
SGC2022rstsws,2,7,-26.315746307373047,23.792800903320312,130.0,-26.315746307373047,23.792800903320312,130.0,7.21373338935789,-73.23817259224722,0.0037130067216679,0.2695087959818988,0.2695087959818988,0.0,0.0,0.0,8.999340037201359,-0.93183908574333,True,20
SGC2025ycdrkg,2,6,-96.31575012207033,-46.20719909667969,100.0,-96.31575012207033,-46.20719909667969,90.0,6.584915566864178,-73.87171276135847,0.7746227194775566,0.1370249616022463,0.1368696806544169,0.0,-10.0,10.0,8.460120605070063,-3.9682648475257176,True,297
SGC2025eqcvse,2,6,-66.31575012207031,-56.20719909667969,120.0,-66.31575012207031,-46.20719909667969,110.0,6.584915566864178,-73.60019556082159,1.499888392094027,0.2812315154124689,0.1781163166442322,10.0,-10.0,14.142135623730953,12.307339955821446,-2.5376463352397445,True,239
SGC2023tkzqox,2,6,-86.31575012207031,-46.20719909667969,100.0,-86.31575012207031,-46.20719909667969,110.0,6.584915566864178,-73.78120702784618,-0.6437321522736399,0.3268140908156066,0.1798296738923656,0.0,10.0,10.0,8.743788735916274,-3.74504509117299,True,191
SGC2024sbcoot,2,6,-66.31575012207031,-36.20719909667969,120.0,-66.31575012207031,-46.20719909667969,120.0,6.584915566864178,-73.60019556082159,0.043555861325867,0.822858493896195,0.7823177176584595,10.0,0.0,10.0,9.115103498215408,0.3425291608528536,True,177
SGC2023pvpgco,2,6,-56.31574630737305,-46.20719909667969,120.0,-56.31574630737305,-46.20719909667969,120.0,6.584915566864178,-73.5096897927841,0.1056597507083214,0.1958283738956786,0.1958283738956786,0.0,0.0,0.0,9.050654387282263,-0.3669511861850363,True,170
SGC2023vdayrr,2,6,-46.31574630737305,-16.207199096679688,120.0,-46.31574630737305,-16.207199096679688,130.0,6.854408919361483,-73.41918405927181,-0.9326609909884632,0.2181398905256272,0.1819254046048892,0.0,10.0,10.0,9.148131090288368,0.706109467027391,True,157
SGC2025ecjjfr,2,6,-66.31575012207031,-56.20719909667969,110.0,-66.31575012207031,-46.20719909667969,100.0,6.584915566864178,-73.60019556082159,1.27807093813301,0.2665323758735992,0.1091401247758659,10.0,-10.0,14.142135623730953,11.358043568211874,-1.721698279619815,True,156
SGC2025wtjawk,2,6,-56.31574630737305,-36.20719909667969,120.0,-56.31574630737305,-36.20719909667969,130.0,6.67474668436328,-73.5096897927841,-0.8162120878519659,0.3128418464696995,0.3101392094270303,0.0,10.0,10.0,9.253246072422533,1.8632552045502804,True,143
SGC2023vfdfoj,2,6,-46.31574630737305,-26.207199096679688,120.0,-46.31574630737305,-26.207199096679688,130.0,6.764577801862382,-73.41918405927181,-0.7993595870618151,0.1734507259337931,0.14227881678043,0.0,10.0,10.0,8.997570188478335,-0.9513222542158635,True,115
